TH Rank,World Rank,Reps,Division
1,2716,289,RX
2,3808,283,RX
3,4981,276,RX
4,5482,274,RX
5,6073,271,RX
6,6337,270,RX
7,6867,268,RX
8,6938,268,RX
9,7180,268,RX
10,7449,267,RX
11,7587,266,RX
12,9191,261,RX
13,9965,259,RX
14,10877,257,RX
15,11171,256,RX
16,11800,254,RX
17,12586,253,RX
18,13159,252,RX
19,13867,250,RX
20,14241,249,RX
21,15106,248,RX
22,15152,248,RX
23,16532,245,RX
24,16736,245,RX
25,16792,245,RX
26,17064,244,RX
27,17538,244,RX
28,18044,243,RX
29,18751,242,RX
30,20244,239,RX
31,20426,239,RX
32,20730,239,RX
33,20865,238,RX
34,21680,237,RX
35,21994,237,RX
36,22131,237,RX
37,22400,236,RX
38,22499,236,RX
39,22565,236,RX
40,23740,234,RX
41,24017,234,RX
42,24761,233,RX
43,25761,231,RX
44,25975,231,RX
44,25975,231,RX
46,26877,230,RX
46,26877,230,RX
48,27399,229,RX
49,27756,229,RX
50,28247,228,RX
51,28805,228,RX
51,28805,228,RX
53,29577,227,RX
54,30134,226,RX
55,30313,226,RX
56,31551,224,RX
57,32276,223,RX
58,32639,223,RX
59,34846,220,RX
60,34888,220,RX
61,35162,220,RX
62,35552,219,RX
63,36156,219,RX
64,37144,218,RX
65,37305,217,RX
66,37710,217,RX
67,38452,216,RX
68,38692,216,RX
69,39317,215,RX
70,39422,215,RX
71,39478,215,RX
72,40380,214,RX
73,40534,214,RX
74,40943,214,RX
75,42432,212,RX
76,43193,212,RX
77,43716,211,RX
78,44032,211,RX
79,44274,210,RX
80,44673,210,RX
81,45219,210,RX
82,45876,210,RX
83,46610,209,RX
84,46955,208,RX
85,47060,208,RX
86,47201,207,RX
87,47366,207,RX
88,47473,207,RX
89,47633,207,RX
90,47734,206,RX
91,47754,206,RX
92,47832,206,RX
92,47832,206,RX
94,47929,206,RX
95,48194,206,RX
96,48246,206,RX
97,48432,205,RX
98,49025,204,RX
99,49244,204,RX
100,49684,204,RX
101,49894,204,RX
102,51082,202,RX
103,51769,201,RX
104,51965,201,RX
105,52158,201,RX
106,52323,200,RX
107,52389,200,RX
107,52389,200,RX
109,53102,200,RX
110,53127,200,RX
111,53651,199,RX
112,53695,199,RX
113,53943,199,RX
114,54321,198,RX
115,54487,198,RX
116,54563,198,RX
117,54632,198,RX
118,54827,198,RX
119,55257,197,RX
120,55278,197,RX
121,56232,196,RX
122,56533,196,RX
123,57345,195,RX
124,57641,194,RX
125,58456,194,RX
126,59308,193,RX
127,60686,191,RX
128,61072,191,RX
129,61221,190,RX
130,61799,190,RX
131,61894,190,RX
132,61953,190,RX
133,62353,189,RX
134,63450,188,RX
135,64399,187,RX
136,64982,186,RX
137,65064,186,RX
138,65314,186,RX
139,65606,186,RX
140,66055,185,RX
141,67115,184,RX
142,68212,183,RX
143,68415,183,RX
144,68598,182,RX
145,68718,182,RX
146,68894,182,RX
147,68967,182,RX
148,70231,180,RX
149,70333,180,RX
150,71390,179,RX
151,71520,179,RX
152,71847,179,RX
153,72111,178,RX
154,72346,178,RX
155,72663,178,RX
156,72902,177,RX
156,72902,177,RX
158,73137,177,RX
159,73569,177,RX
160,73848,176,RX
161,74497,175,RX
162,74503,175,RX
163,74557,175,RX
164,74796,175,RX
165,75199,174,RX
166,75291,174,RX
167,75356,174,RX
168,75619,174,RX
169,76241,173,RX
170,76612,173,RX
171,77296,172,RX
172,77417,171,RX
173,78061,170,RX
174,78132,170,RX
175,78464,170,RX
176,79032,169,RX
177,79112,169,RX
178,79232,169,RX
179,79309,169,RX
180,79448,169,RX
181,79691,168,RX
182,79714,168,RX
183,80358,167,RX
184,82188,165,RX
185,82311,165,RX
186,82471,164,RX
187,83546,163,RX
188,83748,163,RX
189,84056,162,RX
190,84098,162,RX
191,84218,162,RX
192,85102,160,RX
193,85264,160,RX
194,85296,160,RX
195,85538,160,RX
196,85694,159,RX
197,85753,159,RX
198,86401,158,RX
199,87038,157,RX
200,87129,157,RX
201,87224,157,RX
202,87442,157,RX
203,88059,156,RX
204,88293,155,RX
205,88349,155,RX
206,89602,153,RX
207,89748,153,RX
208,89781,153,RX
209,90032,152,RX
210,90444,151,RX
211,90521,151,RX
212,90648,151,RX
213,91493,149,RX
214,91632,149,RX
215,91711,149,RX
216,91858,149,RX
217,92261,148,RX
218,92348,147,RX
219,92400,147,RX
220,92952,146,RX
221,93084,146,RX
222,93405,145,RX
222,93405,145,RX
224,93560,145,RX
225,93826,144,RX
226,94102,144,RX
227,94256,144,RX
228,94450,143,RX
229,94831,141,RX
230,94923,141,RX
231,94963,141,RX
232,95038,140,RX
233,95144,140,RX
234,95310,139,RX
235,95787,138,RX
236,96259,136,RX
237,96595,135,RX
238,96860,134,RX
239,98689,126,RX
240,98776,126,RX
240,98776,126,RX
242,98891,125,RX
243,99336,121,RX
243,99336,121,RX
245,99589,119,RX
246,99870,116,RX
247,100222,113,RX
248,100379,112,RX
249,100408,111,RX
250,100665,109,RX
251,101316,100,RX
252,101343,99,RX
253,101366,99,RX
254,103154,226,Scaled
255,103337,222,Scaled
256,103730,216,Scaled
257,103813,215,Scaled
258,105369,195,Scaled
259,105635,192,Scaled
260,107048,179,Scaled
261,107363,177,Scaled
262,107526,176,Scaled
263,107754,174,Scaled
264,107769,174,Scaled
265,108080,171,Scaled
266,108334,169,Scaled
267,108554,167,Scaled
268,108786,165,Scaled
269,109516,159,Scaled
270,109635,158,Scaled
271,109771,157,Scaled
272,110213,153,Scaled
273,110256,152,Scaled
274,110314,152,Scaled
275,110389,151,Scaled
276,111106,144,Scaled
277,111167,144,Scaled
277,111167,144,Scaled
279,111345,141,Scaled
280,111487,138,Scaled
281,112038,131,Scaled
282,112148,129,Scaled
283,112588,118,Scaled
284,113960,114,Foudation
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score
285,114020,0,No Score